Year,MO,DY,WS2M,T2M_MIN,T2M_MAX,T2MDEW,PRECTOTCORR,WS10M,PS,WD10M,SSM,SUSM
2016,3,6,1.84,17.71,33.29,6.45,0.39,2.83,98.68,146.38,2.975,14.004
2016,3,7,1.73,15.53,31.54,7.54,0.33,2.82,98.68,299.25,2.938,13.863
2016,3,8,2.2,15.54,31.69,5.84,0.0,3.42,98.57,287.94,2.902,13.722
2016,3,9,1.94,14.48,31.51,4.83,0.0,3.23,98.59,287.94,2.865,13.581
2016,3,10,2.24,15.26,34.1,6.78,0.0,3.65,98.69,298.38,4.113,14.953
2016,3,11,1.8,20.81,34.9,9.64,3.29,2.84,98.61,188.5,5.362,16.326
2016,3,12,2.61,19.51,33.66,12.33,16.53,3.92,98.41,132.56,6.61,17.698
2016,3,13,2.18,16.9,29.26,11.91,0.78,3.33,98.45,191.94,5.638,18.187
2016,3,14,1.15,17.18,29.55,8.64,1.07,2.02,98.75,189.88,4.666,18.675
2016,3,15,2.11,13.79,28.33,5.58,0.0,3.48,98.88,298.56,3.694,19.164
2016,3,16,3.02,12.49,30.83,3.22,0.0,4.62,98.65,294.81,3.574,18.599
2016,3,17,1.63,15.43,31.77,7.43,0.75,2.73,98.48,217.75,3.453,18.035
2016,3,18,2.05,18.23,33.33,8.84,0.1,2.95,98.39,134.0,3.333,17.47
2016,3,19,0.85,18.04,34.88,8.52,0.65,1.23,98.33,196.88,3.192,16.801
2016,3,20,1.34,19.86,33.94,8.5,0.56,2.11,98.4,198.62,3.051,16.132
2016,3,21,4.3,16.21,32.33,2.65,0.01,6.39,98.52,312.12,2.91,15.463
2016,3,22,4.39,13.07,33.44,-2.2,0.0,6.57,98.26,296.56,2.833,14.86
2016,3,23,2.62,11.83,36.25,-0.33,0.0,4.23,98.35,292.19,2.757,14.258
2016,3,24,1.22,16.23,36.4,2.77,0.0,2.05,98.68,257.06,2.68,13.655
2016,3,25,0.95,19.06,36.11,3.69,0.0,1.61,98.73,218.0,2.66,13.372
2016,3,26,2.34,17.83,32.76,8.98,0.0,3.66,98.73,301.12,2.641,13.088
2016,3,27,1.98,17.83,34.23,4.55,0.01,3.1,98.67,289.69,2.621,12.805
2016,3,28,2.0,15.05,35.01,1.87,0.0,3.38,98.67,295.06,2.589,12.58
2016,3,29,2.16,17.18,35.62,2.56,0.0,3.5,98.54,293.25,2.556,12.355
2016,3,30,1.79,17.8,37.86,3.99,0.0,2.99,98.56,310.5,2.524,12.13
2016,3,31,1.52,21.47,38.7,1.75,0.0,2.44,98.35,249.12,2.515,12.014
2016,4,1,2.76,20.12,40.08,5.37,0.0,4.3,98.02,302.88,2.505,11.897
2016,4,2,1.99,22.36,40.98,8.13,0.0,3.15,98.19,294.56,2.496,11.781
2016,4,3,1.51,26.09,40.72,10.22,0.0,2.39,98.22,294.0,2.497,11.753
2016,4,4,1.73,23.71,39.2,5.61,0.0,2.75,98.13,282.62,2.499,11.724
2016,4,5,3.07,23.08,37.41,9.22,0.0,4.46,98.11,311.56,2.5,11.696
2016,4,6,2.13,22.48,37.03,8.06,0.14,3.17,98.15,260.75,2.5,11.668
2016,4,7,2.17,23.88,37.78,7.05,0.0,3.23,98.12,248.44,2.499,11.641
2016,4,8,1.6,19.56,37.65,1.35,0.15,2.66,98.31,318.56,2.499,11.613
2016,4,9,2.2,20.68,39.23,2.78,0.0,3.45,98.3,270.62,2.495,11.59
2016,4,10,2.75,23.88,38.11,5.75,0.0,4.07,98.29,315.06,2.49,11.567
2016,4,11,3.68,21.57,37.26,6.16,0.0,5.26,98.25,304.69,2.486,11.544
2016,4,12,4.16,21.19,36.9,5.46,0.0,5.95,98.06,292.31,2.479,11.496
2016,4,13,4.33,20.53,39.35,3.69,0.0,6.23,97.77,292.56,2.471,11.447
2016,4,14,3.38,21.27,41.4,3.5,0.0,5.05,97.76,291.44,2.464,11.399
2016,4,15,2.84,23.46,42.19,4.48,0.0,4.4,97.84,293.62,2.462,11.382
2016,4,16,2.73,25.19,43.94,6.19,0.0,4.26,97.73,286.88,2.461,11.365
2016,4,17,1.8,25.48,43.33,8.1,0.0,2.94,97.63,255.88,2.459,11.348
2016,4,18,2.25,26.76,41.58,11.51,0.01,3.33,97.87,284.5,2.458,11.336
2016,4,19,1.6,28.28,40.2,11.26,0.19,2.41,97.99,251.12,2.457,11.325
2016,4,20,3.61,26.61,41.06,6.62,0.0,5.12,98.01,288.94,2.456,11.313
2016,4,21,4.58,24.56,41.2,3.31,0.0,6.53,97.78,291.56,2.454,11.303
2016,4,22,2.53,25.65,41.79,5.65,0.0,3.68,97.51,287.06,2.452,11.294
2016,4,23,3.08,23.67,39.07,0.48,0.37,4.55,97.57,292.69,2.45,11.284
2016,4,24,2.81,21.33,39.5,-4.92,0.0,4.37,97.68,313.5,2.446,11.263
2016,4,25,2.8,21.8,40.2,-4.81,0.0,4.2,97.87,316.44,2.441,11.243
2016,4,26,1.77,22.73,41.64,-4.99,0.0,2.8,98.09,311.25,2.437,11.222
2016,4,27,2.12,23.86,42.33,-3.35,0.0,3.39,97.97,301.0,2.44,11.204
2016,4,28,2.97,23.74,42.15,-0.27,0.0,4.46,97.89,302.69,2.442,11.186
2016,4,29,2.52,24.83,42.05,-1.39,0.0,3.97,97.93,298.44,2.445,11.168
2016,4,30,2.13,22.9,41.9,-5.01,0.0,3.38,97.88,290.56,2.465,11.196
2016,5,1,2.73,23.66,44.17,-4.14,0.0,4.25,97.66,286.62,2.485,11.225
2016,5,2,2.15,24.33,45.62,-1.06,0.0,3.36,97.64,276.0,2.505,11.253
2016,5,3,2.15,28.76,41.63,10.27,0.59,3.1,97.83,186.31,2.507,11.314
2016,5,4,2.66,25.57,41.07,12.66,6.05,3.9,97.83,177.56,2.509,11.374
2016,5,5,2.03,27.94,38.2,12.22,4.48,2.84,98.08,153.12,2.511,11.435
2016,5,6,1.98,24.5,38.16,13.93,0.53,2.79,98.05,205.5,2.523,11.481
2016,5,7,1.75,24.55,38.36,12.15,0.01,2.6,98.05,194.06,2.536,11.526
2016,5,8,1.8,25.39,40.16,11.87,0.0,2.66,98.06,148.5,2.548,11.572
2016,5,9,2.1,28.01,40.96,12.86,0.02,3.01,98.05,155.62,2.546,11.599
